,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
72,2016,DAL,0,642,63,299,77,282,18,34,197,90,9,75,64,0,0,0,11,11,0,28,198,24,492
73,2016,DEN,0,708,44,258,51,224,16,41,228,114,14,367,83,3,0,0,13,13,1,37,316,21,481
74,2016,DET,2,679,53,227,55,233,8,26,161,68,10,96,63,1,2,32,4,4,0,20,246,35,793
75,2016,GB,0,659,61,207,75,381,9,39,285,83,17,209,88,0,0,0,8,8,0,26,235,32,631
76,2016,HOU,1,632,49,295,61,257,7,31,198,89,11,132,70,1,1,0,6,6,0,39,427,30,557
77,2016,IND,1,696,11,253,50,226,15,33,211,82,8,100,60,0,0,0,9,9,1,22,182,32,804
78,2016,JAX,1,711,28,182,78,276,10,33,183,77,7,104,55,1,0,0,6,6,0,40,220,37,881
79,2016,KC,3,728,28,184,65,226,16,27,157,76,18,271,104,4,1,0,15,15,1,40,592,40,943
80,2016,LA,0,708,36,222,82,309,12,31,196,102,10,71,73,0,0,0,8,8,1,49,369,47,1122
81,2016,LAC,0,668,91,221,86,333,14,35,230,87,18,292,86,3,1,0,10,10,2,32,212,28,508
82,2016,LV,0,668,52,206,47,178,20,25,147,80,16,147,73,1,0,0,14,14,0,41,380,26,534
83,2016,MIA,3,656,47,399,63,273,16,32,220,96,16,186,75,1,0,11,9,9,0,36,328,35,879
84,2016,MIN,3,646,9,315,63,339,13,41,310,114,14,253,59,2,1,0,13,13,2,34,354,33,902
85,2016,NE,0,601,22,366,50,297,16,34,227,74,13,109,72,0,3,6,10,10,0,45,309,29,542
86,2016,NO,0,665,57,257,56,251,11,30,213,106,9,109,67,0,1,0,12,12,0,23,221,28,462
87,2016,NYG,1,592,195,313,63,279,15,35,242,85,17,174,101,1,0,78,8,8,2,45,275,31,739
