name,week,manager,team_id,position,roster_position,points,2-PT,3 and Outs,4 Dwn Stops,40 Yd Pass TD,40 Yd Rush,40 Yd Rush TD,Blk Kick,Comp,Def Yds Allow,FG Yds,FGM 0-19,FGM 20-29,Fum Lost,Fum Rec,Fum Ret TD,Inc,Int,PAT Made,PAT Miss,Pass 1st Downs,Pass TD,Pass Yds,Pick Six,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Ret Yds,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,TFL,Targets,XPR,Yds Allow 0-99,Yds Allow 100-199,Yds Allow 200-299,Yds Allow 300-399,Yds Allow 400-499,Yds Allow 500+,Yds Allow Neg
Puka Nacua,1,John,461.l.254906.t.2,WR,WR,24.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,10,0,130,,,1,0,1,0,,,,11,,,,,,,,
Deebo Samuel,1,John,461.l.254906.t.2,WR,WR,22.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,0,77,,,1,1,19,0,,,,10,,,,,,,,
Chase Brown,1,John,461.l.254906.t.2,RB,RB,13.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,8,,,21,1,43,0,,,,3,,,,,,,,
Bucky Irving,1,John,461.l.254906.t.2,RB,RB,14.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,1,8,,,14,0,37,0,,,,4,,,,,,,,
Trey McBride,1,John,461.l.254906.t.2,TE,TE,12.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,0,61,,,0,0,0,0,,,,9,,,,,,,,
RJ Harvey,1,John,461.l.254906.t.2,RB,W/R/T,8.4,0,,,0,1,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,-1,,,6,0,70,0,,,,1,,,,,,,,
Matthew Golden,1,John,461.l.254906.t.2,WR,BN,3.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,16,,,0,0,0,0,,,,2,,,,,,,,
Jacory Croskey-Merritt,1,John,461.l.254906.t.2,RB,BN,14.7,0,,,0,1,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,10,1,82,0,,,,1,,,,,,,,
Jordan Love,1,John,461.l.254906.t.2,QB,BN,18.92,0,,,0,0,0,,16,,,,,0,,0,6,0,,,8,2,188,0,,,,,,,,,0,0,0,,,3,0,4,0,,,,0,,,,,,,,
Michael Pittman Jr.,1,John,461.l.254906.t.2,WR,BN,20.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,1,80,,,0,0,0,0,,,,8,,,,,,,,
Kyle Pitts Sr.,1,John,461.l.254906.t.2,TE,BN,12.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,0,59,,,0,0,0,0,,,,8,,,,,,,,
Ollie Gordon II,1,John,461.l.254906.t.2,RB,BN,1.3,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,-1,,,2,0,4,0,,,,1,,,,,,,,
Dont'e Thornton Jr.,1,John,461.l.254906.t.2,WR,BN,6.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,45,,,0,0,0,0,,,,4,,,,,,,,
Tyler Loop,1,John,461.l.254906.t.2,K,K,13.1,,,,,,,,,,101,0,0,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,1,John,461.l.254906.t.2,DEF,DEF,25.33,,5,1,,,,0,,133,,,,,2,,,0,,,,,,,12,0,0,0,0,0,0,1,,,,0,129,,,,6,0,0,7,,0,0,1,0,0,0,0,0
Joe Mixon,1,John,461.l.254906.t.2,RB,IR,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,0,0,0,0,,,,0,,,,,,,,
Kyler Murray,1,Eric,461.l.254906.t.8,QB,QB,17.37,0,,,0,0,0,,21,,,,,0,,0,8,0,,,11,2,163,0,,,,,,,,,0,0,0,,,7,0,38,5,,,,0,,,,,,,,
Ja'Marr Chase,1,Eric,461.l.254906.t.8,WR,WR,4.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,26,,,0,0,0,0,,,,5,,,,,,,,
Xavier Worthy,1,Eric,461.l.254906.t.8,WR,WR,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,1,0,0,0,,,,1,,,,,,,,
Kenneth Walker III,1,Eric,461.l.254906.t.8,RB,RB,5.4,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,0,4,,,10,0,20,0,,,,3,,,,,,,,
Breece Hall,1,Eric,461.l.254906.t.8,RB,RB,17.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,38,,,19,0,107,0,,,,4,,,,,,,,
Sam LaPorta,1,Eric,461.l.254906.t.8,TE,TE,13.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,0,79,,,0,0,0,0,,,,9,,,,,,,,
Rome Odunze,1,Eric,461.l.254906.t.8,WR,W/R/T,15.7,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,1,37,,,0,0,0,0,,,,9,,,,,,,,
Jaylen Warren,1,Eric,461.l.254906.t.8,RB,BN,13.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,1,22,,,11,0,37,0,,,,2,,,,,,,,
Braelon Allen,1,Eric,461.l.254906.t.8,RB,BN,6.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,6,1,9,0,,,,0,,,,,,,,
Justin Fields,1,Eric,461.l.254906.t.8,QB,BN,31.77,0,,,0,0,0,,16,,,,,0,,0,6,0,,,9,1,218,0,,,,,,,,,0,0,0,,,12,2,48,1,,,,0,,,,,,,,
Jayden Reed,1,Eric,461.l.254906.t.8,WR,BN,13.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,1,45,,,0,0,0,0,,,,5,,,,,,,,
Dalton Kincaid,1,Eric,461.l.254906.t.8,TE,BN,14.8,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,1,48,,,0,0,0,0,,,,4,,,,,,,,
Christian Kirk,1,Eric,461.l.254906.t.8,WR,BN,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,0,0,0,0,,,,0,,,,,,,,
Geno Smith,1,Eric,461.l.254906.t.8,QB,BN,21.13,0,,,0,0,0,,24,,,,,0,,0,10,1,,,17,1,362,0,,,,,,,,,0,0,0,,,2,0,10,4,,,,0,,,,,,,,
Chris Boswell,1,Eric,461.l.254906.t.8,K,K,15.6,,,,,,,,,,116,0,0,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,1,Eric,461.l.254906.t.8,DEF,DEF,5.34,,2,0,,,,0,,347,,,,,0,,,0,,,,,,,21,0,0,0,1,0,0,0,,,,0,67,,,,2,0,0,3,,0,0,0,0,1,0,0,0
Baker Mayfield,1,Andy,461.l.254906.t.3,QB,QB,24.28,0,,,0,0,0,,17,,,,,0,,0,15,0,,,10,3,167,0,,,,,,,,,0,0,0,,,5,0,39,1,,,,0,,,,,,,,
CeeDee Lamb,1,Andy,461.l.254906.t.3,WR,WR,19.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,0,110,,,0,0,0,0,,,,13,,,,,,,,
Calvin Ridley,1,Andy,461.l.254906.t.3,WR,WR,6.7,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,0,27,,,0,0,0,0,,,,8,,,,,,,,
Josh Jacobs,1,Andy,461.l.254906.t.3,RB,RB,14.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,4,,,19,1,66,0,,,,1,,,,,,,,
James Cook III,1,Andy,461.l.254906.t.3,RB,RB,21.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,5,0,58,,,13,1,44,0,,,,5,,,,,,,,
Colston Loveland,1,Andy,461.l.254906.t.3,TE,TE,3.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,12,,,0,0,0,0,,,,2,,,,,,,,
Zay Flowers,1,Andy,461.l.254906.t.3,WR,W/R/T,29.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,1,143,,,2,0,8,0,,,,9,,,,,,,,
Jordan Mason,1,Andy,461.l.254906.t.3,RB,BN,8.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,7,,,15,0,68,0,,,,1,,,,,,,,
Tank Bigsby,1,Andy,461.l.254906.t.3,RB,BN,1.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,5,0,12,0,,,,0,,,,,,,,
Nick Chubb,1,Andy,461.l.254906.t.3,RB,BN,6.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,13,0,60,0,,,,1,,,,,,,,
Caleb Williams,1,Andy,461.l.254906.t.3,QB,BN,25.4,0,,,0,0,0,,21,,,,,0,,0,14,0,,,10,1,210,0,,,,,,,,,0,0,0,,,6,1,58,2,,,,0,,,,,,,,
Chig Okonkwo,1,Andy,461.l.254906.t.3,TE,BN,4.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,0,19,,,0,0,0,0,,,,4,,,,,,,,
Cedric Tillman,1,Andy,461.l.254906.t.3,WR,BN,16.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,5,1,52,,,0,0,0,0,,,,8,,,,,,,,
Evan McPherson,1,Andy,461.l.254906.t.3,K,K,5.5,,,,,,,,,,35,0,0,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,1,Andy,461.l.254906.t.3,DEF,DEF,19.42,,2,1,,,,0,,246,,,,,0,,,1,,,,,,,13,0,0,0,0,0,0,1,,,,0,71,,,,4,0,0,9,,0,0,0,1,0,0,0,0
Baltimore,1,Andy,461.l.254906.t.3,DEF,BN,-1.54,,2,0,,,,0,,497,,,,,0,,,0,,,,,,,41,0,0,0,0,0,1,0,,,,0,173,,,,1,0,0,3,,0,0,0,0,0,1,0,0
Jalen Coker,1,Andy,461.l.254906.t.3,WR,IR,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,0,0,0,0,,,,0,,,,,,,,
Lamar Jackson,1,John,461.l.254906.t.4,QB,QB,30.26,0,,,0,0,0,,14,,,,,0,,0,5,0,,,8,2,209,0,,,,,,,,,0,0,0,,,6,1,70,2,,,,0,,,,,,,,
Jakobi Meyers,1,John,461.l.254906.t.4,WR,WR,17.7,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,8,0,97,,,0,0,0,0,,,,10,,,,,,,,
Ricky Pearsall,1,John,461.l.254906.t.4,WR,WR,15.8,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,0,108,,,0,0,0,0,,,,7,,,,,,,,
Christian McCaffrey,1,John,461.l.254906.t.4,RB,RB,23.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,9,0,73,,,22,0,69,0,,,,10,,,,,,,,
James Conner,1,John,461.l.254906.t.4,RB,RB,14.4,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,1,5,,,12,0,39,0,,,,4,,,,,,,,
Mark Andrews,1,John,461.l.254906.t.4,TE,TE,1.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,5,,,0,0,0,0,,,,1,,,,,,,,
Tyreek Hill,1,John,461.l.254906.t.4,WR,W/R/T,8.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,0,40,,,0,0,0,0,,,,6,,,,,,,,
Aaron Jones Sr.,1,John,461.l.254906.t.4,RB,BN,15.7,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,1,44,,,8,0,23,0,,,,3,,,,,,,,
Brian Robinson Jr.,1,John,461.l.254906.t.4,RB,BN,4.7,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,4,,,9,0,33,0,,,,2,,,,,,,,
Dylan Sampson,1,John,461.l.254906.t.4,RB,BN,17.3,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,8,0,64,,,12,0,29,0,,,,8,,,,,,,,
Josh Downs,1,John,461.l.254906.t.4,WR,BN,3.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,12,,,0,0,0,0,,,,3,,,,,,,,
Dallas Goedert,1,John,461.l.254906.t.4,TE,BN,11.4,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,0,44,,,0,0,0,0,,,,7,,,,,,,,
