,season,round,pick,team,gsis_id,position
6935,2025,2,55,LAC,00-0040727,WR
6938,2025,2,58,LVR,00-0040729,WR
6940,2025,2,60,DEN,00-0040730,RB
6947,2025,3,67,CLE,00-0040663,TE
6949,2025,3,69,NWE,00-0040131,WR
6950,2025,3,70,DET,00-0040669,WR
6954,2025,3,74,DEN,00-0040134,WR
6959,2025,3,79,HOU,00-0040138,WR
6963,2025,3,83,PIT,00-0040142,RB
6967,2025,3,87,GNB,00-0040009,WR
6972,2025,3,92,SEA,00-0040673,QB
6974,2025,3,94,CLE,00-0040704,QB
6982,2025,3,102,MIN,00-0040154,WR
6983,2025,4,103,TEN,00-0040705,WR
6984,2025,4,104,JAX,00-0040719,RB
6985,2025,4,105,NYG,00-0040715,RB
6988,2025,4,108,LVR,00-0040581,WR
6990,2025,4,110,NYJ,00-0040582,WR
6994,2025,4,114,CAR,00-0040644,RB
6996,2025,4,116,HOU,00-0040583,RB
6997,2025,4,117,LAR,00-0040692,RB
7000,2025,4,120,TEN,00-0040584,TE
7006,2025,4,126,CLE,00-0040162,RB
7008,2025,4,128,WAS,00-0040164,WR
7013,2025,4,133,KAN,00-0040646,WR
7016,2025,4,136,TEN,00-0040170,WR
7018,2025,4,138,SFO,00-0040172,WR
7024,2025,5,144,CLE,00-0040668,QB
7027,2025,5,147,SFO,00-0040177,RB
7029,2025,5,149,DAL,00-0040586,RB
7031,2025,5,151,IND,00-0040179,RB
7038,2025,5,158,LAC,00-0040184,WR
7043,2025,5,163,CAR,00-0040187,TE
7045,2025,5,165,LAC,00-0040189,TE
7046,2025,5,166,SEA,00-0040648,WR
7053,2025,5,173,BUF,00-0040194,TE
7055,2025,5,175,SEA,00-0040649,TE
7059,2025,6,179,MIA,00-0040198,RB
7061,2025,6,181,PHI,00-0040014,QB
7062,2025,6,182,NWE,00-0040200,K
7064,2025,6,184,NOR,00-0040202,RB
7065,2025,6,185,PIT,00-0040203,QB
7066,2025,6,186,BAL,00-0040074,K
7068,2025,6,188,TEN,00-0040205,RB
7069,2025,6,189,IND,00-0040206,QB
7073,2025,6,193,CIN,00-0040208,RB
7077,2025,6,197,HOU,00-0040211,QB
7082,2025,6,202,MIN,00-0040215,TE
7083,2025,6,203,BAL,00-0040075,WR
7088,2025,6,208,CAR,00-0040218,WR
7093,2025,6,213,LVR,00-0040220,QB
7095,2025,6,215,LVR,00-0040222,QB
7099,2025,7,219,NYG,00-0040225,TE
7103,2025,7,223,SEA,00-0040651,RB
7107,2025,7,227,SFO,00-0040589,QB
7108,2025,7,228,KAN,00-0040078,RB
7111,2025,7,231,MIA,00-0040234,QB
7113,2025,7,233,CHI,00-0040236,RB
7115,2025,7,235,TAM,00-0040237,WR
7116,2025,7,236,JAX,00-0040238,RB
7118,2025,7,238,SEA,00-0040653,WR
7119,2025,7,239,DAL,00-0040021,RB
7121,2025,7,241,DEN,00-0040240,TE
7122,2025,7,242,LAR,00-0040590,WR
7124,2025,7,244,DET,00-0040241,WR
7125,2025,7,245,WAS,00-0040242,RB
7128,2025,7,248,NOR,00-0040244,TE
7132,2025,7,252,SFO,00-0040247,WR
7135,2025,7,255,HOU,00-0040250,TE
