,player_id,player_name,sacks_suffered,season,attempts,passing_air_yards,carries,rushing_yards,receptions,receiving_yards,fg_att,pat_att,fg_made_distance,fg_missed_distance
577,00-0006482,C.Groce,0,1999,0,0,8,22,25,154,0,0,0,0
582,00-0006627,A.Hakim,0,1999,0,0,4,44,31,614,0,0,0,0
587,00-0006662,J.Hall,0,1999,0,0,0,0,0,0,33,29,964,256
588,00-0006666,L.Hall,0,1999,0,0,0,0,3,33,0,0,0,0
606,00-0006800,J.Hanson,0,1999,0,0,0,0,0,0,32,29,1018,313
607,00-0006803,B.Hanspard,0,1999,0,0,136,383,10,93,0,0,0,0
608,00-0006804,P.Hape,0,1999,0,0,0,0,5,12,0,0,0,0
609,00-0006808,J.Harbaugh,37,1999,434,227,34,126,0,0,0,0,0,0
612,00-0006848,T.Hardy,0,1999,0,0,0,0,30,222,0,0,0,0
613,00-0006877,A.Harper,0,1999,0,0,0,0,0,0,0,0,0,0
619,00-0006949,J.Harris,0,1999,0,0,0,0,26,297,0,0,0,0
622,00-0006977,M.Harris,0,1999,0,0,0,0,6,66,0,0,0,0
624,00-0006994,R.Harris,0,1999,0,0,0,0,10,164,0,0,0,0
628,00-0007024,M.Harrison,0,1999,0,0,1,4,115,1663,0,0,0,0
634,00-0007091,M.Hasselbeck,1,1999,10,0,6,15,0,0,0,0,0,0
635,00-0007093,A.Hastings,0,1999,0,0,1,4,40,564,0,0,0,0
637,00-0007103,M.Hatchette,0,1999,0,0,0,0,9,180,0,0,0,0
640,00-0007120,C.Hawkins,0,1999,0,0,0,0,30,285,0,0,0,0
642,00-0007144,D.Hayes,0,1999,0,0,0,0,11,270,0,0,0,0
645,00-0007213,S.Heiden,0,1999,0,0,0,0,0,0,0,0,0,0
648,00-0007254,W.Henderson,0,1999,0,0,7,29,30,203,0,0,0,0
653,00-0007357,C.Hetherington,0,1999,0,0,2,7,0,0,0,0,0,0
657,00-0007389,S.Hicks,0,1999,0,0,78,257,8,72,0,0,0,0
659,00-0007436,G.Hill,0,1999,0,0,144,542,13,77,0,0,0,0
660,00-0007447,M.Hill,0,1999,0,0,0,0,0,0,0,0,0,0
662,00-0007468,I.Hilliard,0,1999,0,0,3,16,72,996,0,0,0,0
664,00-0007520,L.Hoard,0,1999,0,0,138,555,17,166,0,0,0,0
665,00-0007530,B.Hobert,11,1999,159,102,12,47,0,0,0,0,0,0
667,00-0007546,J.Hodgins,0,1999,0,0,7,10,6,35,0,0,0,0
668,00-0007579,R.Holcombe,0,1999,0,0,74,293,14,163,0,0,0,0
674,00-0007622,M.Hollis,0,1999,0,0,0,0,0,0,38,37,1038,249
676,00-0007647,D.Holmes,0,1999,0,0,0,0,0,0,0,0,0,0
678,00-0007655,J.Holmes,0,1999,0,0,0,0,0,0,2,0,70,0
681,00-0007661,P.Holmes,0,1999,0,0,77,454,11,101,0,0,0,0
683,00-0007681,T.Holt,0,1999,0,0,3,25,49,752,0,0,0,0
686,00-0007744,J.Horn,0,1999,0,0,2,15,35,586,0,0,0,0
687,00-0007749,T.Horne,0,1999,0,0,0,0,0,0,0,0,0,0
688,00-0007795,C.Howard,0,1999,0,0,13,55,1,8,0,0,0,0
689,00-0007798,D.Howard,0,1999,0,0,0,0,0,0,0,0,0,0
691,00-0007832,B.Hoying,0,1999,5,0,2,-3,0,0,0,0,0,0
692,00-0007835,D.Huard,28,1999,216,62,28,124,1,0,0,0,0,0
695,00-0007924,J.Hundon,0,1999,0,0,0,0,1,5,0,0,0,0
697,00-0007969,R.Huntley,0,1999,0,0,93,567,27,253,0,0,0,0
698,00-0007983,M.Husted,0,1999,0,0,0,0,0,0,31,30,703,482
702,00-0008044,M.Irvin,0,1999,0,0,0,0,10,167,0,0,0,0
703,00-0008046,S.Irvin,0,1999,0,0,36,133,25,233,0,0,0,0
705,00-0008059,Q.Ismail,0,1999,0,0,1,4,64,1059,0,0,0,0
706,00-0008060,R.Ismail,0,1999,0,0,13,110,80,1097,0,0,0,0
709,00-0008080,C.Jacke,0,1999,0,0,0,0,0,0,27,26,642,325
716,00-0008156,L.Jackson,0,1999,0,0,0,0,0,0,0,0,0,0
718,00-0008190,S.Jackson,0,1999,0,0,0,0,4,34,0,0,0,0
720,00-0008196,T.Jackson,0,1999,0,0,15,75,3,6,0,0,0,0
723,00-0008210,W.Jackson,0,1999,0,0,0,0,31,369,0,0,0,0
724,00-0008224,M.Jacoby,0,1999,0,0,0,0,1,6,0,0,0,0
726,00-0008229,N.Jacquet,0,1999,0,0,1,4,1,18,0,0,0,0
727,00-0008231,J.Jaeger,0,1999,0,0,0,0,0,0,8,7,93,260
728,00-0008241,E.James,0,1999,0,0,369,1553,62,586,0,0,0,0
732,00-0008300,P.Jeffers,0,1999,0,0,2,16,63,1082,0,0,0,0
734,00-0008313,S.Jefferson,0,1999,0,0,0,0,40,698,0,0,0,0
736,00-0008329,D.Jells,0,1999,0,0,0,0,10,180,0,0,0,0
739,00-0008346,J.Jenkins,0,1999,0,0,0,0,1,30,0,0,0,0
741,00-0008391,T.Jervey,0,1999,0,0,6,49,1,2,0,0,0,0
742,00-0008400,J.Jett,0,1999,0,0,0,0,39,552,0,0,0,0
744,00-0008430,A.Johnson,0,1999,0,0,25,72,13,103,0,0,0,0
746,00-0008442,B.Johnson,29,1999,519,187,26,31,0,0,0,0,0,0
747,00-0008454,C.Johnson,0,1999,0,0,0,0,34,414,0,0,0,0
749,00-0008488,D.Johnson,0,1999,0,0,0,0,0,0,0,0,0,0
751,00-0008529,J.Johnson,0,1999,0,0,164,558,15,100,0,0,0,0
753,00-0008560,K.Johnson,0,1999,1,0,1,-6,66,986,0,0,0,0
754,00-0008561,K.Johnson,1,1999,1,0,5,6,89,1170,0,0,0,0
756,00-0008568,L.Johnson,0,1999,0,0,1,2,0,0,0,0,0,0
757,00-0008570,L.Johnson,0,1999,0,0,61,143,12,86,0,0,0,0
758,00-0008572,L.Johnson,0,1999,0,0,0,0,10,98,0,0,0,0
759,00-0008575,M.Johnson,0,1999,0,0,0,0,2,23,0,0,0,0
760,00-0008593,N.Johnson,0,1999,0,0,0,0,0,0,26,21,606,286
762,00-0008598,P.Johnson,0,1999,0,0,1,12,29,526,0,0,0,0
764,00-0008612,R.Johnson,1,1999,34,0,8,61,0,0,0,0,0,0
767,00-0008660,D.Johnston,0,1999,0,0,0,0,1,4,0,0,0,0
770,00-0008704,C.Jones,0,1999,0,0,1,-8,10,90,0,0,0,0
772,00-0008723,D.Jones,0,1999,0,0,0,0,19,221,0,0,0,0
775,00-0008749,F.Jones,0,1999,0,0,0,0,56,670,0,0,0,0
776,00-0008751,G.Jones,0,1999,0,0,8,15,0,0,0,0,0,0
779,00-0008763,I.Jones,0,1999,0,0,0,0,1,8,0,0,0,0
791,00-0008903,A.Jordan,0,1999,0,0,0,0,5,40,0,0,0,0
792,00-0008907,C.Jordan,0,1999,0,0,0,0,3,60,0,0,0,0
793,00-0008921,R.Jordan,0,1999,0,0,9,32,8,82,0,0,0,0
797,00-0008961,T.Junkin,0,1999,0,0,0,0,0,0,0,0,0,0
798,00-0008962,J.Jurevicius,0,1999,0,0,0,0,18,318,0,0,0,0
800,00-0008970,P.Justin,1,1999,14,0,5,-1,0,0,0,0,0,0
802,00-0009007,D.Kanell,5,1999,84,42,0,0,0,0,0,0,0,0
803,00-0009028,J.Kasay,0,1999,0,0,0,0,0,0,25,33,724,152
805,00-0009038,N.Kaufman,0,1999,0,0,138,714,18,181,0,0,0,0
809,00-0009119,R.Kelly,0,1999,0,0,0,0,8,146,0,0,0,0
816,00-0009163,E.Kennison,0,1999,0,0,3,20,61,835,0,0,0,0
817,00-0009165,J.Kent,0,1999,0,0,0,0,3,42,0,0,0,0
819,00-0009212,D.Kight,0,1999,0,0,0,0,0,0,0,0,0,0
821,00-0009237,B.Kinchen,0,1999,0,0,0,0,5,45,0,0,0,0
823,00-0009266,S.King,11,1999,146,103,18,38,0,0,0,0,0,0
825,00-0009288,T.Kirby,0,1999,1,0,130,452,58,528,0,0,0,0
828,00-0009311,J.Kitna,32,1999,495,289,35,56,0,0,0,0,0,0
829,00-0009323,J.Kleinsasser,0,1999,0,0,0,0,6,13,0,0,0,0
832,00-0009417,R.Konrad,0,1999,0,0,9,16,34,251,0,0,0,0
836,00-0009443,B.Kozlowski,0,1999,0,0,0,0,11,122,0,0,0,0
837,00-0009451,E.Kramer,7,1999,141,97,5,1,0,0,0,0,0,0
844,00-0009550,D.LaFleur,0,1999,0,0,0,0,35,322,0,0,0,0
847,00-0009599,F.Lane,0,1999,0,0,115,475,23,163,0,0,0,0
854,00-0009738,A.Lee,0,1999,0,0,3,3,3,22,0,0,0,0
859,00-0009819,T.Lester,0,1999,0,0,0,0,2,9,0,0,0,0
861,00-0009829,D.Levens,0,1999,0,0,279,1034,71,573,0,0,0,0
863,00-0009842,C.Lewis,0,1999,0,0,0,0,7,76,0,0,0,0
865,00-0009868,J.Lewis,1,1999,3,0,4,1,0,0,0,0,0,0
866,00-0009869,J.Lewis,0,1999,0,0,5,11,25,281,0,0,0,0
871,00-0009946,S.Lindsey,0,1999,0,0,0,0,0,0,0,0,0,0
872,00-0009960,J.Linton,0,1999,0,0,205,695,29,228,0,0,0,0
875,00-0010007,K.Lockett,0,1999,0,0,0,0,34,426,0,0,0,0
882,00-0010072,R.Longwell,0,1999,0,0,0,0,0,0,30,38,877,75
883,00-0010092,K.Loud,0,1999,0,0,0,0,6,66,0,0,0,0
